Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-07-01 00:00:00+08:00,228.11118087080104,267.27781406869093,227.71753738690435,236.96795654296875,105058256,0.0,0.0
2020-08-01 00:00:00+08:00,241.1011077998546,317.46619937876517,233.03160433790922,305.65716552734375,107829783,0.0,0.0
2020-09-01 00:00:00+08:00,301.52400376671875,331.83387655418977,275.3473050058797,289.12451171875,94109301,0.0,0.0
2020-10-01 00:00:00+08:00,289.1244927688656,320.81207814436095,289.1244927688656,310.1839599609375,69608037,0.0,0.0
2020-11-01 00:00:00+08:00,311.9553113969092,362.3405345879817,295.2258467478636,333.2115783691406,160431966,0.0,0.0
2020-12-01 00:00:00+08:00,328.2911260692393,338.1319869823944,297.39082880831705,336.7542724609375,143713560,0.0,0.0
2021-01-01 00:00:00+08:00,336.75428056428984,383.5967556125441,328.48793317278626,340.2969665527344,126255669,0.0,0.0
2021-02-01 00:00:00+08:00,338.9192469233026,416.07159117733437,338.52561848958334,354.27099609375,98420482,0.0,0.0
2021-03-01 00:00:00+08:00,357.223229165403,382.4158375592098,293.2576371660884,316.8757019042969,139724723,0.0,0.0
2021-04-01 00:00:00+08:00,323.3707063930023,332.8179391909623,279.4804592507587,294.044921875,98204210,0.0,0.0
2021-05-01 00:00:00+08:00,294.24174710193057,297.7844631068672,256.8464748949963,286.5658874511719,100775502,0.0,0.0
2021-06-01 00:00:00+08:00,289.3213404111999,304.6730910108327,268.261901911464,300.5399169921875,94641483,0.0,0.0
2021-07-01 00:00:00+08:00,300.5398783379547,300.5398783379547,234.4092977526087,272.1982116699219,123991238,0.0,0.0
2021-08-01 00:00:00+08:00,274.7568618695697,301.91761526540336,232.63795712451528,301.52398681640625,118839020,0.0,0.0
2021-09-01 00:00:00+08:00,302.11444490014867,320.6152523144885,271.6077745682118,278.6932067871094,103904615,0.0,0.0
2021-10-01 00:00:00+08:00,278.69320257155147,329.47202258850115,263.7350814609937,305.4603271484375,70095903,0.0,0.0
2021-11-01 00:00:00+08:00,299.35901373766904,359.1914386245499,291.48632467192544,334.3924560546875,103338522,0.0,0.0
2021-12-01 00:00:00+08:00,327.89753278254454,339.5097378918724,244.05337680343294,269.6396179199219,174410865,0.0,0.0
2022-01-01 00:00:00+08:00,271.80459541236473,303.2953509112316,241.1010967881996,275.1504821777344,156965390,0.0,0.0
2022-02-01 00:00:00+08:00,275.1504949106446,299.94944799444795,263.3414610520927,274.7568664550781,92436842,0.0,0.0
2022-03-01 00:00:00+08:00,277.5122876289563,286.959520448242,157.5521948340301,230.27615356445312,407983426,0.0,0.0
2022-04-01 00:00:00+08:00,222.7971274095455,281.4486756049311,192.0936385285642,261.3733215332031,194249194,0.0,0.0
2022-05-01 00:00:00+08:00,261.3732909725081,261.3732909725081,186.3859133181014,222.40347290039062,307416754,4.935609,0.0
2022-06-01 00:00:00+08:00,220.3014620790779,271.626191229061,213.9845802154118,249.51707458496094,358641112,0.0,0.0
2022-07-01 00:00:00+08:00,249.51705325981433,266.29627021741976,225.82872570465412,230.7637939453125,130521078,0.0,0.0
2022-08-01 00:00:00+08:00,227.01313844785102,251.29368014957004,209.8391070417016,243.594970703125,177792486,0.0,0.0
2022-09-01 00:00:00+08:00,242.80538037486218,245.96382133509124,193.25729357065543,196.02093505859375,136988549,0.0,0.0
2022-10-01 00:00:00+08:00,193.94817727410106,212.9975432449561,137.09618646110385,143.21568298339844,218359093,0.0,0.0
2022-11-01 00:00:00+08:00,147.55854974417468,225.63134028190132,145.09101546751626,215.95860290527344,256011526,0.0,0.0
2022-12-01 00:00:00+08:00,221.09104778197698,238.8572926930287,210.23389811411207,217.34039306640625,156025492,0.0,0.0
2023-01-01 00:00:00+08:00,217.34041160263035,255.24174634839602,208.8521029020128,228.59237670898438,151099634,0.0,0.0
2023-02-01 00:00:00+08:00,229.3819754801964,239.4495271644408,169.07544807112959,171.44427490234375,212313207,0.0,0.0
