Year,Revenue_CNY_bn,GrossProfit_CNY_bn,GrossMargin_pct,EBITDA_CNY_bn,PBT_CNY_bn,NetProfit_CNY_bn,EPS_CNY,EPS_HKD,OCF_CNY_bn,OCF_Margin_pct,CAPEX_CNY_bn,Equity_CNY_bn,Equity_HKD_bn,Debt_CNY_bn,Debt_HKD_bn,Cash_CNY_bn,DPS_HKD,DivYield_pct,ROE_pct,PBT_Margin_pct,NetMargin_pct,DebtEquity_pct,BVPS_HKD
2021,,,,,,,,,,,,,,,,,,,,,,,
2022,1046.24,147.07,14.06,23.21,13.87,10.38,6.42,5.75,57.82,5.53,-22.91,213.37,191.12,65.05,58.26,219.96,4.86,84.59,4.86,1.33,0.99,30.49,79.31
2023,1084.66,159.7,14.72,42.82,31.65,24.17,15.22,14.07,59.52,5.49,-20.02,231.86,214.39,68.43,63.27,190.15,2.59,18.38,10.42,2.92,2.23,29.51,88.96
2024,1158.82,183.87,15.87,63.34,51.54,41.36,26.86,24.55,58.09,5.01,-13.82,239.35,218.8,89.77,82.06,234.0,3.13,12.77,17.28,4.45,3.57,37.51,90.79
2025,1309.09,210.03,16.04,37.87,25.32,19.63,12.9,11.25,18.99,1.45,-14.18,225.04,196.2,107.11,93.38,213.23,3.75,33.39,8.72,1.93,1.5,47.59,81.41
