Date,Close
2019-04-30,5.184078216552734
2019-05-31,5.16244649887085
2019-06-30,5.191287994384766
2019-07-31,5.286755561828613
2019-08-31,5.125885963439941
2019-09-30,5.125885963439941
2019-10-31,5.045451641082764
2019-11-30,5.118573188781738
2019-12-31,5.2648186683654785
2020-01-31,7.312248706817627
2020-02-29,8.74544906616211
2020-03-31,8.65770149230957
2020-04-30,8.423710823059082
2020-05-31,9.008691787719727
2020-06-30,9.286554336547852
2020-07-31,13.77694034576416
2020-08-31,12.787518501281738
2020-09-30,11.963001251220703
2020-10-31,10.134072303771973
2020-11-30,11.243422508239746
2020-12-31,10.673754692077637
2021-01-31,11.003562927246094
2021-02-28,11.603212356567383
2021-03-31,14.841315269470215
2021-04-30,15.965659141540527
2021-05-31,21.362503051757812
2021-06-30,25.222745895385742
2021-07-31,20.64384651184082
2021-08-31,17.088516235351562
2021-09-30,16.667993545532227
2021-10-31,16.24747085571289
2021-11-30,16.777286529541016
2021-12-31,17.010303497314453
2022-01-31,17.67051887512207
2022-02-28,17.98120880126953
2022-03-31,17.204484939575195
2022-04-30,17.709354400634766
2022-05-31,19.107463836669922
2022-06-30,18.952119827270508
2022-07-31,17.51075553894043
2022-08-31,17.273054122924805
2022-09-30,15.371431350708008
2022-10-31,10.474760055541992
2022-11-30,14.341388702392578
2022-12-31,15.117883682250977
2023-01-31,18.936973571777344
2023-02-28,19.1746768951416
2023-03-31,21.036678314208984
2023-04-30,18.936973571777344
2023-05-31,15.75175666809082
2023-06-30,16.32224464416504
2023-07-31,17.74327278137207
2023-08-31,14.57780647277832
2023-09-30,14.527825355529785
2023-10-31,14.194618225097656
2023-11-30,12.661867141723633
2023-12-31,13.744789123535156
2024-01-31,12.828470230102539
2024-02-29,13.794770240783691
2024-03-31,14.244600296020508
2024-04-30,14.57780647277832
2024-05-31,15.177579879760742
2024-06-30,13.67814826965332
2024-07-31,14.130867004394531
2024-08-31,15.39255142211914
2024-09-30,18.15924644470215
2024-10-31,16.492019653320312
2024-11-30,16.484724044799805
2024-12-31,18.652299880981445
2025-01-31,17.91737174987793
2025-02-28,20.233789443969727
2025-03-31,23.257230758666992
2025-04-30,24.931751251220703
2025-05-31,23.675861358642578
2025-06-30,21.95482635498047
2025-07-31,23.092910766601562
2025-08-31,23.88521957397461
2025-09-30,24.155763626098633
2025-10-31,24.639999389648438
2025-11-30,24.079999923706055
2025-12-31,23.639999389648438
2026-01-31,23.0
2026-02-28,22.639999389648438
2026-03-31,23.440000534057617
2026-04-30,23.299999237060547
