date,price,eps,pe
2022-12-31,15.117883682250977,1.49,10.146230659228843
2023-01-31,18.936973571777344,1.49,12.709378236092178
2023-02-28,19.1746768951416,1.49,12.86891066788027
2023-03-31,21.036678314208984,1.49,14.118576049804688
2023-04-30,18.936973571777344,1.49,12.709378236092178
2023-05-31,15.75175666809082,1.49,10.571648770530752
2023-06-30,16.32224464416504,1.49,10.954526606822174
2023-07-31,17.74327278137207,1.49,11.908236766021524
2023-08-31,14.57780647277832,1.49,9.783762733408269
2023-09-30,14.527825355529785,1.49,9.750218359415964
2023-10-31,14.194618225097656,1.49,9.526589412817218
2023-11-30,12.661867141723633,1.49,8.497897410552774
2023-12-31,13.744789123535156,1.78,7.721791642435481
2024-01-31,12.828470230102539,1.78,7.207005747248617
2024-02-29,13.794770240783691,1.78,7.749870921788591
2024-03-31,14.244600296020508,1.78,8.002584435966577
2024-04-30,14.57780647277832,1.78,8.189778917291191
2024-05-31,15.177579879760742,1.78,8.526730269528507
2024-06-30,13.67814826965332,1.78,7.684352960479393
2024-07-31,14.130867004394531,1.78,7.9386893283115345
2024-08-31,15.39255142211914,1.78,8.647500798943337
2024-09-30,18.15924644470215,1.78,10.201823845338286
2024-10-31,16.492019653320312,1.78,9.26517958051703
2024-11-30,16.484724044799805,1.78,9.261080924044833
2024-12-31,18.652299880981445,1.98,9.420353475243154
2025-01-31,17.91737174987793,1.98,9.0491776514535
2025-02-28,20.233789443969727,1.98,10.219085577762488
2025-03-31,23.257230758666992,1.98,11.746076140740906
2025-04-30,24.931751251220703,1.98,12.591793561222577
2025-05-31,23.675861358642578,1.98,11.957505736688171
2025-06-30,21.95482635498047,1.98,11.088296138879025
2025-07-31,23.092910766601562,1.98,11.663086245758365
2025-08-31,23.88521957397461,1.98,12.063242209078085
2025-09-30,24.155763626098633,1.98,12.199880619241734
2025-10-31,24.639999389648438,1.98,12.44444413618608
2025-11-30,24.079999923706055,1.98,12.161616123083865
