,PB,PE
2022-04-01 00:00:00+08:00,3.140163918654482,12.539554667729204
2022-05-01 00:00:00+08:00,2.5282347783227235,10.095950095884263
2022-06-01 00:00:00+08:00,2.5765453875258104,10.288867899166641
2022-07-01 00:00:00+08:00,2.1793275870849125,8.70266588785315
2022-08-01 00:00:00+08:00,2.168592092314093,8.65979604823615
2022-09-01 00:00:00+08:00,2.023661388184977,8.081047124760126
2022-10-01 00:00:00+08:00,1.2882726937629052,5.144433949583321
2022-11-01 00:00:00+08:00,1.9485121223034236,7.780955042890323
2022-12-01 00:00:00+08:00,2.1954312304840506,8.76697224955405
2023-01-01 00:00:00+08:00,2.571693393685738,10.368170751004053
2023-02-01 00:00:00+08:00,2.184534059954588,8.914489209172553
2023-03-01 00:00:00+08:00,2.1378683417384896,8.82897875583843
2023-04-01 00:00:00+08:00,1.9030197303742646,7.952493892598088
2023-05-01 00:00:00+08:00,1.6331732118410318,6.904988122689501
2023-06-01 00:00:00+08:00,1.6244299351132028,6.947743668952512
2023-07-01 00:00:00+08:00,1.4700645388281395,6.359663469861723
2023-08-01 00:00:00+08:00,1.1248512616839863,4.921436309814453
2023-09-01 00:00:00+08:00,1.1580876980400494,5.123687173981449
2023-10-01 00:00:00+08:00,1.0700283123366883,4.7866026134337565
2023-11-01 00:00:00+08:00,0.9391582417191986,4.247266869123116
2023-12-01 00:00:00+08:00,0.8848342892996506,4.04501600495612
2024-01-01 00:00:00+08:00,0.7987313716715396,3.2498255970912058
2024-02-01 00:00:00+08:00,1.1099138845576748,4.557682267317535
2024-03-01 00:00:00+08:00,1.0520227193112301,4.359522328027315
2024-04-01 00:00:00+08:00,1.1610347305285813,4.85492203534354
2024-05-01 00:00:00+08:00,1.202350113447794,5.072898053108378
2024-06-01 00:00:00+08:00,1.168452633507728,4.973818506191245
2024-07-01 00:00:00+08:00,1.2004218180725006,5.1550448081735745
2024-08-01 00:00:00+08:00,1.3017158426090754,5.638988305490913
2024-09-01 00:00:00+08:00,1.4349736739107766,6.270218120962734
2024-10-01 00:00:00+08:00,1.421634539485713,6.26539169473851
2024-11-01 00:00:00+08:00,1.2970340750732567,5.765030006426728
2024-12-01 00:00:00+08:00,1.2230584288814452,5.482217098804231
2025-01-01 00:00:00+08:00,1.3157787870001756,6.626724154191531
2025-02-01 00:00:00+08:00,1.4862440733910223,7.485247214403513
2025-03-01 00:00:00+08:00,1.5288602914766085,7.699877458133085
2025-04-01 00:00:00+08:00,1.5448415975349752,7.780364929065759
2025-05-01 00:00:00+08:00,1.5661496375696846,7.887679703381596
2025-06-01 00:00:00+08:00,1.5182062714592537,7.646220070975167
2025-07-01 00:00:00+08:00,1.724448660798241,8.684929188764476
2025-08-01 00:00:00+08:00,1.7685239858043582,8.906908007474403
2025-09-01 00:00:00+08:00,1.608750811893037,8.102234181440258
2025-10-01 00:00:00+08:00,1.6150800953085338,8.134110675956347
2025-11-01 00:00:00+08:00,1.6324465316217671,8.221574149395911
2025-12-01 00:00:00+08:00,1.4761484667865004,7.434402193341936
2026-01-01 00:00:00+08:00,1.5340367258467786,7.725947799905048
2026-02-01 00:00:00+08:00,1.458782030473267,7.346938719902371
2026-03-01 00:00:00+08:00,1.4124715336379785,7.1137027907302
2026-04-01 00:00:00+08:00,1.4819372788909115,7.4635566844884575
