,PB,PE
2016-05-31,3.910301543041434,39.57244157791138
2016-06-30,4.177949457721019,42.28105147679647
2016-07-31,4.785303736954563,48.42750628789266
2016-08-31,7.025014472783588,71.09348773956299
2016-09-30,7.37354369596001,74.62062040964763
2016-10-31,6.7661894167264665,68.47416559855144
2016-11-30,7.545603181868482,76.36187076568604
2016-12-31,5.970599625475434,60.422758261362716
2017-01-31,6.906942217944599,71.76318963368735
2017-02-28,7.070459179073604,75.1861572265625
2017-03-31,7.121977298662937,77.65664259592693
2017-04-30,7.44585533102934,83.1333875656128
2017-05-31,9.569789057394203,109.43068663279216
2017-06-30,8.457713304760931,98.92367521921794
2017-07-31,9.570307729721643,114.52047824859619
2017-08-31,12.29644532009877,150.46161015828451
2017-09-30,11.782173481834084,147.24699656168622
2017-10-31,10.799845212033382,137.88593610127768
2017-11-30,12.40066380653827,161.56392097473145
2017-12-31,11.578191453420773,47.37657400277944
2018-01-31,14.081279107660283,59.33291606414012
2018-02-28,13.611997987732941,58.85209303635817
2018-03-31,12.314207632569342,54.739952087402344
2018-04-30,11.492539590614808,52.44119106194912
2018-05-31,9.961351294736284,46.66680067013471
2018-06-30,8.463182362678717,40.64512741871369
2018-07-31,7.695100347383412,37.89301652174729
2018-08-31,6.964074328685757,35.1409056247809
2018-09-30,6.485081169455132,33.48780901004106
2018-10-31,5.1124256179084995,27.02195583245693
2018-11-30,5.396744579890522,29.160450666378704
2018-12-31,4.842725066397862,16.56346245417519
2019-01-31,4.908693926052794,17.19561228676448
2019-02-28,5.724342053739617,20.481092967684308
2019-03-31,4.800334680385258,17.572636074490017
2019-04-30,5.190807766268309,19.418059455023872
2019-05-31,3.0781664447796913,11.769895704965743
2019-06-30,3.1623804542882925,12.345349599444678
2019-07-31,2.7852402707196653,11.103726190233987
2019-08-31,2.8818098314640794,11.727373183719696
2019-09-30,3.0570527222781063,12.685520686800517
2019-10-31,3.294613882501873,13.944149017333984
2019-11-30,2.8140131531575743,12.135578337169829
2019-12-31,2.9893017586658828,15.188295906836832
2020-01-31,2.7221844194806613,13.96602228147174
2020-02-29,2.6674200485769792,13.808731639057124
2020-03-31,2.0759550069473764,10.84971821636235
2020-04-30,2.331684723396792,12.298094023258313
2020-05-31,1.8938990335948598,10.082930818610235
2020-06-30,2.0496205845571716,11.010284598814238
2020-07-31,2.0889083589875335,11.324865008712909
2020-08-31,2.234097770310964,12.222726629414689
2020-09-30,2.163025735728681,11.937639253948806
2020-10-31,2.44506694031016,13.615395607204611
2020-11-30,2.465027394793132,13.844777903425584
2020-12-31,2.3705949603003287,21.21849751126939
2021-01-31,2.604647523211401,23.594516256581183
2021-02-28,3.1191011450830097,28.5587836002958
2021-03-31,2.8195832224829336,26.12064748570539
2021-04-30,2.7848365678964053,26.089588109997738
2021-05-31,2.7771581583659817,26.31735317948936
2021-06-30,2.84305964466936,27.23877395408741
2021-07-31,3.013351313236903,29.195492509482566
2021-08-31,2.6694600729696365,26.151706861413047
2021-09-30,2.4828877989551525,24.583227738090184
2021-10-31,2.3263038091498154,23.283925263778023
2021-11-30,2.0376571198261932,20.607669111611187
2021-12-31,1.568955824685095,11.898281753704111
2022-01-31,1.7547586154926185,13.307793935139973
2022-02-28,1.3890768139498826,10.534856652700773
2022-03-31,1.2411624519003865,9.413392056701003
2022-04-30,1.1717474373263248,8.887225325389574
2022-05-31,1.1139820826042925,8.449393446727465
2022-06-30,1.1711607160704363,8.883384991717595
2022-07-31,0.9731483607864029,7.3816965985041785
2022-08-31,1.0475411127719918,7.946270768360424
2022-09-30,0.8657490757378274,6.567483307212911
2022-10-31,0.573095775778481,4.347597142701508
2022-11-30,0.8069644400971628,6.121969223022461
2022-12-31,0.9679186577357005,37.940337922838
2023-01-31,1.1513338049283397,45.143445332845054
2023-02-28,1.0462898226282027,41.03588793012831
2023-03-31,1.014615069146558,39.80560037824843
2023-04-30,0.8853802201302071,34.74557134840224
2023-05-31,0.7061696954013775,27.721050050523548
2023-06-30,0.7047177275104652,27.672123908996582
2023-07-31,0.8463738402863789,33.244546254475914
2023-08-31,0.6930116669403038,27.22886668311225
2023-09-30,0.6734754363374085,26.468989584181045
2023-10-31,0.6351528337797048,24.970348676045738
2023-11-30,0.5426479036045363,21.339832411872017
2023-12-31,0.5875576033266444,5.818626430484799
2024-01-31,0.437296450629082,4.304189281863766
2024-02-29,0.49520369612455845,4.846198075301164
2024-03-31,0.49663729097815823,4.830256708852061
2024-04-30,0.5216507504385869,5.043070799820907
2024-05-31,0.5389337555121422,5.1776312447928055
2024-06-30,0.4705452451485594,4.493130503834545
2024-07-31,0.4760043187828646,4.5165322043678975
2024-08-31,0.46415838103774354,4.3761220011677775
2024-09-30,0.629395557548154,5.897233869645979
2024-10-31,0.5687454874380374,5.294639747459572
2024-11-30,0.6071188223123416,5.616413463245739
2024-12-31,0.6079224815170391,6.887621304084515
