date,price,bvps,pb
2022-12-31,15.117883682250977,4.508764249820012,3.3529993684754036
2023-01-31,18.936973571777344,4.508764249820012,4.2000363120634
2023-02-28,19.1746768951416,4.508764249820012,4.25275659420584
2023-03-31,21.036678314208984,4.508764249820012,4.665730375024323
2023-04-30,18.936973571777344,4.508764249820012,4.2000363120634
2023-05-31,15.75175666809082,4.508764249820012,3.4935862234801087
2023-06-30,16.32224464416504,4.508764249820012,3.6201149006219646
2023-07-31,17.74327278137207,4.508764249820012,3.935285102138657
2023-08-31,14.57780647277832,4.508764249820012,3.2332155031969703
2023-09-30,14.527825355529785,4.508764249820012,3.2221301781546305
2023-10-31,14.194618225097656,4.508764249820012,3.1482280817109256
2023-11-30,12.661867141723633,4.508764249820012,2.8082788187980974
2023-12-31,13.744789123535156,5.384983014178367,2.5524294296464585
2024-01-31,12.828470230102539,5.384983014178367,2.382267538509569
2024-02-29,13.794770240783691,5.384983014178367,2.56171100344473
2024-03-31,14.244600296020508,5.384983014178367,2.6452451676291737
2024-04-30,14.57780647277832,5.384983014178367,2.707122090152513
2024-05-31,15.177579879760742,5.384983014178367,2.818500975731771
2024-06-30,13.67814826965332,5.384983014178367,2.540054115981332
2024-07-31,14.130867004394531,5.384983014178367,2.624124712592171
2024-08-31,15.39255142211914,5.384983014178367,2.858421536630922
2024-09-30,18.15924644470215,5.384983014178367,3.3722012487114337
2024-10-31,16.492019653320312,5.384983014178367,3.062594554132803
2024-11-30,16.484724044799805,5.384983014178367,3.0612397479056894
2024-12-31,18.652299880981445,5.531553108278734,3.3719824280572666
2025-01-31,17.91737174987793,5.531553108278734,3.2391213460577837
2025-02-28,20.233789443969727,5.531553108278734,3.6578857778093212
2025-03-31,23.257230758666992,5.531553108278734,4.204466684747062
2025-04-30,24.931751251220703,5.531553108278734,4.50718826398085
2025-05-31,23.675861358642578,5.531553108278734,4.280147165758633
2025-06-30,21.95482635498047,5.531553108278734,3.969016644190225
2025-07-31,23.092910766601562,5.531553108278734,4.174760743423005
2025-08-31,23.88521957397461,5.531553108278734,4.317995164545573
2025-09-30,24.155763626098633,5.531553108278734,4.366904403384683
2025-10-31,24.639999389648438,5.531553108278734,4.454445055001148
2025-11-30,24.079999923706055,5.531553108278734,4.3532077614272575
2025-12-31,23.639999389648438,6.05051970463845,3.9071022893331855
2026-01-31,23.0,6.05051970463845,3.801326352572282
2026-02-28,22.639999389648438,6.05051970463845,3.7418272305256948
2026-03-31,23.440000534057617,6.05051970463845,3.8740474667139817
2026-04-30,23.299999237060547,6.05051970463845,3.850908744119666
